gene	Chr	Length
Y_RNA	1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;13;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;19;19;19;19;19;19;19;19;19;19;19;19;19;Y;22;22;22;22;22;22;22;22;22;22;22;22;22;21;21;21;21;21;21;21;21;21;21;21;21;GL000205.2;GL000195.1	79078
ERRFI1	1	21905
AL034417.2	1	95965
AL034417.1	1	1219
AL358876.1	1	2947
LINC01714	1	12782
RNU1-7P	1	164
AL358876.2	1	2340
RNU6-991P	1	107
SLC45A1	1	26342
RERE	1	465247
AL096855.1	1	10194
SNORA77	1;1;2	362
AL096855.2	1	369
RPL7P11	1	658
RPL7P7	1	703
AL357552.1	1	1032
AL357552.2	1	1192
RPL23AP19	1	369
ENO1	1	18248
MIR6728	1	89
ENO1-IT1	1	2220
ENO1-AS1	1	1060
RNU6-304P	1	107
HMGN2P17	1	743
AL139415.1	1	352
AL139415.2	1	163
CA6	1	29226
RN7SL451P	1	299
SLC2A7	1	23046
SLC2A5	1	53372
SCARNA16	1;1;2;2;11;17	1096
GPR157	1	28866
MIR34AHG	1	48973
MIR34A	1	110
LINC01759	1	14281
Z98044.1	1	1764
H6PD	1	36563
SPSB1	1	76653
RNA5SP40	1	110
AL928921.1	1	2380
SLC25A33	1	45698
AL954705.1	1	559
TMEM201	1	25952
PIK3CD	1	77383
PIK3CD-AS1	1	1977
AL691449.1	1	1799
PIK3CD-AS2	1	15130
CLSTN1	1	95501
MZT1P1	1	419
AL357140.3	1	1983
CTNNBIP1	1	62061
AL357140.1	1	1837
LZIC	1	21295
AL357140.2	1	7052
NMNAT1	1	42074
RN7SKP269	1	319
AL357140.4	1	9602
MIR5697	1	78
AL603962.1	1	1428
RBP7	1	18815
UBE4B	1	148408
AL590639.1	1	337
PGAM1P11	1	978
RNU6-828P	1	107
KIF1B	1	170799
MIR1273D	1	86
RNU6-37P	1	107
RN7SL731P	1	293
PGD	1	21553
AL139424.1	1	797
APITD1-CORT	1	22052
CENPS	1	12367
CORT	1	2184
DFFA	1	16005
AL354956.1	1	784
PEX14	1	158471
RN7SL614P	1	280
CASZ1	1	160047
AL139423.1	1	15093
HSPE1P24	1	238
C1orf127	1	35567
CFL1P6	1	820
TARDBP	1	14077
AL109811.4	1	17867
MASP2	1	20711
AL109811.3	1	870
SRM	1	5441
EXOSC10	1	33264
AL109811.1	1	4627
AL109811.2	1	2426
MTOR	1	155973
MTOR-AS1	1	5640
RNU6-537P	1	103
ANGPTL7	1	6641
RNU6-291P	1	107
RPL39P6	1	150
UBIAD1	1	22844
UBE2V2P3	1	736
MTCYBP45	1	565
DISP3	1	58419
LINC01647	1	3825
FBXO2	1	7419
FBXO44	1	8953
FBXO6	1	10231
MAD2L2	1	17171
DRAXIN	1	34129
AGTRAP	1	18719
C1orf167	1	27799
AL953897.1	1	2543
MTHFR	1	21198
CLCN6	1	37049
NPPA-AS1	1	7063
NPPA-AS1_1	1	173
NPPA-AS1_2	1	149
NPPA	1	2637
NPPA-AS1_3	1	108
NPPB	1	1468
AL021155.1	1	2637
RNU5E-1	1	120
RNU5E-4P	1	120
KIAA2013	1	6838
PLOD1	1	41334
MFN2	1	33334
AL096840.1	1	93
MIIP	1	12580
MIR6729	1	65
RN7SL649P	1	275
TNFRSF8	1	80831
RNU6-777P	1	104
RPL23AP89	1	255
MIR7846	1	96
TNFRSF1B	1	42226
MIR4632	1	61
RPL10P17	1	316
SNORA70	1;1;3;4;5;6;X;8;8;8;9;9;9;9;12;12;14;16;17;17;18;19;19;Y;Y;21;21	3338
VPS13D	1	281981
SNORA59A	1	152
AC243836.1	1	697
DHRS3	1	49822
RNU6ATAC18P	1	101
MIR6730	1	67
AC254633.1	1	345
AADACL4	1	22540
AC244670.1	1	112
AADACL3	1	12645
C1orf158	1	17485
PRAMEF12	1	3066
PRAMEF1	1	5232
LINC01784	1	474
PRAMEF11	1	6806
PRAMEF30P	1	3233
HNRNPCL1	1	1318
PRAMEF2	1	4824
PRAMEF4	1	6978
PRAMEF10	1	5375
PRAMEF7	1	3873
RNU6-1072P	1	107
PRAMEF29P	1	2092
PRAMEF6	1	9109
PRAMEF28P	1	2792
PRAMEF27	1	7016
HNRNPCL3	1	1361
PRAMEF25	1	9208
PRAMEF34P	1	2793
PRAMEF35P	1	1287
HNRNPCL2	1	1359
PRAMEF36P	1	2798
AC245056.1	1	480
PRAMEF26	1	7057
HNRNPCL4	1	882
PRAMEF9	1	7010
PRAMEF13	1	5080
PRAMEF18	1	3402
PRAMEF31P	1	2790
PRAMEF5	1	9103
PRAMEF32P	1	2089
RNU6-771P	1	107
PRAMEF8	1	4140
PRAMEF33	1	5369
PRAMEF15	1	7018
AC243961.1	1	480
PRAMEF14	1	5101
PRAMEF19	1	2627
PRAMEF17	1	2998
PRAMEF20	1	10879
LRRC38	1	39072
AL354712.1	1	3051
BRWD1P1	1	694
PDPN	1	34493
RNA5SP41	1	101
AL359771.1	1	2600
SCARNA11	1;11;12;12	552
PRDM2	1	124882
KAZN	1	1225252
RNU6-1265P	1	103
AL357873.1	1	1228
AL359873.1	1	42621
TBCAP2	1	485
TMEM51-AS1	1	40650
TMEM51	1	67949
C1orf195	1	6974
AL035405.1	1	1018
AL391094.1	1	1177
FHAD1	1	153012
AL031283.2	1	17197
AL031283.3	1	1299
AL031283.1	1	6455
EFHD2	1	20449
CTRC	1	10804
CELA2A	1	15364
CELA2B	1	25492
CASP9	1	35703
DNAJC16	1	65567
SCARNA21	1;2;3;17	573
AL121992.3	1	346
AGMAT	1	12758
AL121992.1	1	17491
CHCHD2P6	1	447
RNU7-179P	1	68
CD24P1	1	225
DDI2	1	51545
RSC1A1	1	1854
AL121992.2	1	256
PLEKHM2	1	50438
AL450998.3	1	16585
SLC25A34	1	4992
AL450998.2	1	9846
TMEM82	1	5561
FBLIM1	1	29988
RPL12P14	1	490
UQCRHL	1	2180
AL450998.1	1	438
FLJ37453	1	13674
SPEN	1	92597
AL034555.1	1	211
ZBTB17	1	34264
AL355994.4	1	563
AL355994.1	1	260
AL355994.5	1	236
TBC1D3P6	1	4881
C1orf64	1	4572
AL355994.3	1	512
HSPB7	1	5567
CLCNKA	1	15176
AL355994.2	1	4852
CLCNKB	1	13573
FAM131C	1	15864
EPHA2	1	31751
AL451042.2	1	2119
AL451042.1	1	2618
ARHGEF19-AS1	1	504
ARHGEF19	1	14756
ANO7L1	1	12119
RSG1	1	5463
MT1XP1	1	186
FBXO42	1	105616
SZRD1	1	45571
AL358794.1	1	381
SPATA21	1	50308
NECAP2	1	19407
LINC01772	1	7534
CROCCP3	1	31822
RNU1-1	1	164
AL137802.2	1	1110
AL137802.1	1	1103
LINC01783	1	2287
RNU1-6P	1	144
FAM231B	1	510
AL355149.1	1	3881
NBPF1	1	51244
AL137798.1	1	339
CROCCP2	1	38980
AL137798.3	1	343
MST1P2	1	4668
AL137798.2	1	10646
RNU1-3	1	164
FAM231A	1	510
AL021920.2	1	7653
EIF1AXP1	1	435
ESPNP	1	32819
AL021920.1	1	4049
FAM231C	1	510
AL021920.3	1	10652
CROCC	1	232707
CROCCP4	1	10689
RNU1-4	1	164
MST1L	1	15328
BX284668.1	1	1873
BX284668.3	1	3878
MIR3675	1	73
BX284668.2	1	3148
RNU1-5P	1	144
BX284668.5	1	1112
BX284668.4	1	508
RNU1-2	1	164
BX284668.6	1	438
MFAP2	1	6334
AL049569.1	1	26166
ATP13A2	1	25971
SDHB	1	35449
PADI2	1	52675
AL590644.1	1	7835
AL590644.3	1	8502
PADI1	1	40880
PADI3	1	35136
MIR3972	1	87
PADI4	1	55810
PADI6	1	29504
RCC2	1	32965
AC004824.1	1	623
ARHGEF10L	1	158040
AL136529.1	1	32292
ACTL8	1	71751
LINC01654	1	8756
IGSF21	1	270738
AL365209.1	1	6473
AL359738.1	1	12418
AL591896.1	1	2686
KLHDC7A	1	5145
DYNLL1P3	1	266
AL031737.1	1	223
PAX7	1	117861
TAS1R2	1	20084
AL080251.1	1	71849
ALDH4A1	1	31352
MIR4695	1	74
MIR1290	1	78
IFFO2	1	52406
AL137127.1	1	3402
UBR4	1	135771
AL035413.1	1	30204
EMC1	1	35889
MRTO4	1	8590
AKR7L	1	8213
AKR7A3	1	6693
AL035413.2	1	824
AKR7A2	1	8182
RNU6-1099P	1	107
PQLC2	1	16975
CAPZB	1	146764
RN7SL277P	1	288
RNU4-28P	1	141
AL031727.2	1	5031
MINOS1	1	32845
MINOS1-NBL1	1	61078
AL031727.1	1	455
NBL1	1	17903
HTR6	1	14276
TMCO4	1	117733
RNF186	1	1250
AL391883.1	1	5136
OTUD3	1	30433
PLA2G2E	1	3609
RN7SL304P	1	301
PLA2G2A	1	4986
PLA2G5	1	63012
PLA2G2D	1	7628
PLA2G2F	1	11061
Z98257.1	1	6231
PLA2G2C	1	16172
UBXN10-AS1	1	2245
UBXN10	1	9964
LINC01757	1	1561
VWA5B1	1	63976
AL020998.1	1	28977
LINC01141	1	70656
AL139254.1	1	950
CAMK2N1	1	3830
MUL1	1	8714
RPS4XP4	1	763
FAM43B	1	2572
CDA	1	29961
PINK1	1	18057
MIR6084	1	110
PINK1-AS	1	9537
DDOST	1	9778
KIF17	1	54004
AL663074.2	1	1280
SH2D5	1	13106
AL663074.1	1	1073
HP1BP3	1	44663
EIF4G3	1	370597
RNU7-200P	1	62
MIR1256	1	119
RPS15AP6	1	385
AL627311.1	1	115
HSPE1P27	1	607
ECE1	1	128258
AL031005.1	1	1170
AL031728.1	1	6485
PPP1R11P1	1	376
AL592309.1	1	1834
AL592309.2	1	1595
NBPF2P	1	3343
HS6ST1P1	1	1234
CROCCP5	1	3241
NBPF3	1	44878
PFN1P10	1	327
ALPL	1	69041
AL359815.1	1	4716
RAP1GAP	1	73149
USP48	1	105309
AL590103.1	1	307
LDLRAD2	1	12957
HSPG2	1	115053
AL590556.1	1	483
AL590556.2	1	6193
CELA3B	1	21622
RN7SL386P	1	297
RNU6-1022P	1	104
CELA3A	1	10884
RN7SL186P	1	297
RNU6-776P	1	104
LINC01635	1	2059
LINC00339	1	6695
CDC42	1	40320
CDC42-IT1	1	5003
AL031281.1	1	488
AL031281.2	1	748
WNT4	1	26665
MIR4418	1	62
AL591122.1	1	492
AL591122.2	1	1853
ZBTB40	1	79307
ZBTB40-IT1	1	2235
EPHA8	1	40031
MIR6127	1	109
C1QA	1	3103
C1QC	1	4481
C1QB	1	8777
EPHB2	1	210662
MIR4684	1	82
AL512444.1	1	1137
MIR4253	1	68
LACTBL1	1	12296
TEX46	1	5017
KDM1A	1	64242
AL031428.1	1	67912
MIR3115	1	68
MIR4419A	1	77
LUZP1	1	93786
AL161672.1	1	818
RNU6-514P	1	107
RNU6-135P	1	101
HTR1D	1	2835
AL109936.1	1	460
LINC01355	1	5444
HNRNPR	1	40566
ZNF436	1	9995
ZNF436-AS1	1	2843
AL109936.2	1	650
TCEA3	1	43680
AL357134.1	1	1315
ASAP3	1	56006
E2F2	1	24791
AL021154.1	1	1777
ID3	1	1877
MDS2	1	59074
AL451000.1	1	9966
RPL11	1	4647
ELOA	1	18905
ELOA-AS1	1	17906
PITHD1	1	9828
LYPLA2	1	4570
GALE	1	5206
HMGCL	1	36736
FUCA1	1	23218
CNR2	1	42837
BTBD6P1	1	1267
AL590609.3	1	775
MIR378F	1	78
AL590609.2	1	368
PNRC2	1	4354
SRSF10	1	16124
AL590609.1	1	639
AL591178.1	1	45965
MYOM3	1	56141
AL591178.2	1	16792
IL22RA1	1	23351
IFNLR1	1	33803
AL590683.1	1	11454
AL138902.1	1	14346
GRHL3	1	45161
STPG1	1	59936
NIPAL3	1	57183
RCAN3	1	38690
AL445686.2	1	17223
NCMAP	1	53218
AL445686.1	1	348
SRRM1	1	41552
CLIC4	1	98968
RNU6-1208P	1	107
RUNX3	1	65611
MIR6731	1	72
AL445471.1	1	1753
AL445471.2	1	2443
MIR4425	1	84
AL050344.1	1	69414
AL121994.1	1	402
AL031432.1	1	1299
SYF2	1	9824
RSRP1	1	95977
AL031432.3	1	485
AL031432.2	1	1035
RHD	1	58053
SDHDP6	1	480
AL928711.1	1	1037
TMEM50A	1	24445
RHCE	1	67944
AL031284.1	1	478
TMEM57	1	69352
LDLRAP1	1	25307
AL606491.1	1	8879
MAN1C1	1	168740
AL031280.1	1	14568
SELENON	1	18049
AL020996.2	1	12275
AL020996.1	1	4049
MTFR1L	1	14303
AUNIP	1	27546
AL020996.3	1	222
AL033528.2	1	3808
PAQR7	1	10044
STMN1	1	22811
SNRPFP2	1	251
AL033528.1	1	140
MIR3917	1	93
PAFAH2	1	38391
RNU6-110P	1	104
SCARNA17	1;18;22;22;22	698
SCARNA18	1;5;18	301
EXTL1	1	16581
SLC30A2	1	8882
AL391650.2	1	2435
TRIM63	1	17133
PDIK1L	1	14379
FAM110D	1	4943
C1orf232	1	4421
AL391650.1	1	2306
ZNF593	1	1003
CNKSR1	1	12484
CATSPER4	1	12408
AL355877.1	1	20100
AL355877.3	1	1896
CEP85	1	44886
AL355877.2	1	358
SH3BGRL3	1	2347
UBXN11	1	37036
CD52	1	2567
CRYBG2	1	38194
AL451139.1	1	346
ZNF683	1	12889
LIN28A	1	18945
DHDDS	1	39013
AL513365.1	1	535
AL513365.2	1	4527
HMGN2	1	3523
DPPA2P2	1	897
RPS6KA1	1	45270
MIR1976	1	52
RN7SL679P	1	304
RNU7-29P	1	64
AL627313.1	1	238
snoU13	1;1;2;2;2;2;3;3;3;3;4;5;5;6;6;7;X;X;X;8;8;11;11;11;11;12;15;16;17;17;19	3224
AL627082.1	1	235
AL512408.1	1	2000
ARID1A	1	88869
PIGV	1	10927
RN7SL165P	1	291
ZDHHC18	1	30893
SFN	1	1320
GPN2	1	14165
AL034380.1	1	2113
GPATCH3	1	9979
NUDC	1	46625
NR0B2	1	2478
KDF1	1	10845
RPL12P13	1	811
AL356390.1	1	397
OSTCP2	1	444
TRNP1	1	7192
FAM46B	1	7817
SLC9A1	1	68167
AL590640.2	1	527
CHCHD3P3	1	640
NPM1P39	1	867
SNRPEP7	1	220
AL590640.1	1	5247
WDTC1	1	74118
FO393419.3	1	599
TMEM222	1	14256
RNU6-48P	1	107
ACTG1P20	1	468
SYTL1	1	11918
MAP3K6	1	11709
FCN3	1	5713
CD164L2	1	4205
FO393419.1	1	678
GPR3	1	3171
WASF2	1	85933
FO393419.2	1	2385
BX293535.1	1	4757
AHDC1	1	70397
FGR	1	23214
AL031729.1	1	192
AL445490.2	1	2395
IFI6	1	6158
AL445490.1	1	33596
RNU6-949P	1	107
CHMP1AP1	1	662
RNU6-424P	1	105
FAM76A	1	37144
AL020997.1	1	349
RPEP3	1	676
STX12	1	51270
AL020997.2	1	184
AL020997.3	1	359
RNU6-1245P	1	106
PPP1R8	1	20899
SCARNA1	1	166
THEMIS2	1	14143
RPA2	1	23223
SMPDL3B	1	24165
AL512288.1	1	21319
XKR8	1	8635
EYA3	1	118353
AL512288.2	1	367
RN7SL559P	1	297
SPCS2P4	1	681
AL137792.2	1	560
AL137792.1	1	873
RNU6-176P	1	105
PTAFR	1	46771
DNAJC8	1	33570
ATPIF1	1	10798
AL353622.1	1	1945
AL353622.2	1	425
SESN2	1	22965
MED18	1	6966
PHACTR4	1	130788
CR391992.1	1	394
RNU6ATAC27P	1	119
RCC1	1	33358
SNHG3	1	4913
SNORA73A	1	206
SNORA73B	1	204
PRDX3P2	1	910
AL513497.1	1	2083
TRNAU1AP	1	25461
SNHG12	1	4446
SNORD99	1	74
SNORA61	1	130
SNORA44	1;1	240
SNORA16A	1;1	137
TAF12	1	53763
RAB42	1	3244
LINC01715	1	5354
AL360012.1	1	131
RNU11	1	134
GMEB1	1	50622
SCARNA24	1;17	267
YTHDF2	1	33155
OPRD1	1	59126
AL009181.1	1	6854
EPB41	1	232956
AL138785.1	1	331
Metazoa_SRP	1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;3;3;3;3;3;3;3;3;3;4;4;4;5;5;5;5;5;5;5;6;6;7;7;7;7;7;7;7;7;X;X;X;X;X;X;X;X;X;8;8;8;8;8;8;8;8;9;9;9;9;11;11;11;11;11;11;10;10;10;10;10;10;10;10;12;12;12;12;12;12;12;12;13;13;13;13;13;13;13;14;14;14;14;15;15;15;15;15;15;15;15;15;15;15;15;16;16;16;16;16;16;16;17;17;17;17;17;17;17;17;17;17;17;18;18;20;20;20;20;20;20;19;19;19;19;19;19;19;19;22;22;22;22;22;22;22;22;22;22;22;22	47946
TMEM200B	1	4508
AL357500.1	1	2501
SRSF4	1	34245
uc_338	1;1;2;2;2;2;2;2;3;3;4;5;5;5;5;7;7;X;8;9;10;10;10;12;12;12;13;13;13;14;14;15;17;20;19;21	6033
MECR	1	38070
AL590729.1	1	884
PTPRU	1	90298
LINC01756	1	20495
AL671862.1	1	8701
AC092265.1	1	697
AL645944.1	1	493
LINC01648	1	23661
AL137076.1	1	1345
AL021921.1	1	93
AL161638.2	1	2079
AL161638.1	1	5284
MATN1	1	12311
MATN1-AS1	1	8324
LAPTM5	1	25352
MIR4420	1	77
AL137027.1	1	5176
LINC01778	1	10204
RN7SKP91	1	288
AL445235.1	1	2097
SDC3	1	39295
RN7SL371P	1	267
PUM1	1	134486
AL356320.2	1	507
AL356320.1	1	163
SELENOWP1	1	572
AC114495.1	1	436
NKAIN1	1	59810
SNRNP40	1	37215
AC114495.2	1	437
ZCCHC17	1	67972
AL451070.1	1	13733
FABP3	1	11226
SERINC2	1	25116
AC209007.1	1	1342
RNU6-40P	1	107
LINC01225	1	9564
LINC01226	1	77081
AC114488.1	1	3989
TINAGL1	1	11202
HCRTR1	1	14833
PEF1	1	15035
AC114488.2	1	16114
AC114488.3	1	4678
COL16A1	1	52073
ADGRB2	1	37777
MIR4254	1	76
AL354919.2	1	2193
SPOCD1	1	25630
AL354919.1	1	13550
AL136115.2	1	69929
PTP4A2	1	38436
AL136115.1	1	956
KHDRBS1	1	47022
AL445248.1	1	21184
TMEM39B	1	30836
MIR5585	1	59
KPNA6	1	68531
AL049795.2	1	5836
TXLNA	1	18600
CCDC28B	1	5002
AL049795.1	1	2046
IQCC	1	3027
DCDC2B	1	7103
TMEM234	1	7888
EIF3I	1	9677
MTMR9LP	1	9963
FAM167B	1	1624
LCK	1	34927
HDAC1	1	41550
MARCKSL1	1	2548
AL109945.1	1	1470
TSSK3	1	12792
FAM229A	1	3009
BSDC1	1	29629
GAPDHP20	1	1007
AL356986.1	1	341
LRRC37A12P	1	3576
RN7SL122P	1	301
AL033529.1	1	135736
ZBTB8B	1	31618
ZBTB8A	1	66513
ZBTB8OS	1	50732
RBBP4	1	35070
SYNC	1	23237
AC114489.1	1	7504
KIAA1522	1	33086
YARS	1	42917
S100PBP	1	42113
FNDC5	1	10215
HPCA	1	12448
TMEM54	1	6845
RNF19B	1	28241
AL031602.1	1	911
AL355864.1	1	526
AL355864.2	1	1282
